Case #1: 861
1 11 1000000
1 12 1000000
1 13 1000000
1 14 1000000
1 15 1000000
1 16 170374
1 17 227935
1 18 145942
1 19 219222
1 20 136406
1 21 1000000
1 22 1000000
1 23 132761
1 24 160956
1 25 1000000
1 26 1000000
1 27 1000000
1 28 183609
1 29 143013
1 30 1000000
1 31 95995
1 32 256869
1 33 1000000
1 34 173990
1 35 1000000
1 36 1000000
1 37 155111
1 38 1000000
1 39 1000000
1 40 129644
1 41 188628
1 42 1000000
1 43 112782
1 44 1000000
1 45 1000000
1 46 53649
1 47 116748
1 48 1000000
1 49 1000000
1 50 1000000
2 3 154390
2 4 1000000
2 5 1000000
2 6 130048
2 7 135648
2 8 1000000
2 9 171407
2 10 1000000
2 11 1000000
2 12 90236
2 13 1000000
2 14 1000000
2 15 107038
2 16 124136
2 17 1000000
2 18 113900
2 19 132800
2 20 87112
2 21 1000000
2 22 1000000
2 23 99348
2 24 1000000
2 25 82231
2 26 1000000
2 27 138904
2 28 93559
2 29 124980
2 30 1000000
2 31 1000000
2 32 224289
2 33 173612
2 34 1000000
2 35 85534
2 36 1000000
2 37 1000000
2 38 1000000
2 39 113966
2 40 88862
2 41 1000000
2 42 1000000
2 43 1000000
2 44 1000000
2 45 1000000
2 46 1000000
2 47 67454
2 48 88821
2 49 89836
2 50 1000000
3 4 1000000
3 5 1000000
3 6 24342
3 7 119799
3 8 160142
3 9 124604
3 10 147053
3 11 1000000
3 12 149744
3 13 1000000
3 14 150552
3 15 1000000
3 16 1000000
3 17 1000000
3 18 155850
3 19 1000000
3 20 1000000
3 21 1000000
3 22 134930
3 23 103210
3 24 1000000
3 25 104091
3 26 113539
3 27 1000000
3 28 1000000
3 29 1000000
3 30 1000000
3 31 1000000
3 32 1000000
3 33 1000000
3 34 1000000
3 35 124965
3 36 1000000
3 37 1000000
3 38 1000000
3 39 135826
3 40 110722
3 41 1000000
3 42 1000000
3 43 153475
3 44 1000000
3 45 1000000
3 46 1000000
3 47 1000000
3 48 1000000
3 49 150144
3 50 152373
4 5 1000000
4 6 1000000
4 7 1000000
4 8 178224
4 9 142686
4 10 1000000
4 11 122617
4 12 1000000
4 13 79375
4 14 1000000
4 15 62978
4 16 1000000
4 17 92588
4 18 48748
4 19 201928
4 20 98594
4 21 94009
4 22 1000000
4 23 70668
4 24 98863
4 25 1000000
4 26 1000000
4 27 95500
4 28 1000000
4 29 1000000
4 30 1000000
4 31 1000000
4 32 218520
4 33 197100
4 34 143672
4 35 99999
4 36 1000000
4 37 100339
4 38 1000000
4 39 1000000
4 40 112350
4 41 1000000
4 42 110028
4 43 1000000
4 44 75270
4 45 1000000
4 46 1000000
4 47 1000000
4 48 112309
4 49 132648
4 50 1000000
5 6 1000000
5 7 1000000
5 8 1000000
5 9 1000000
5 10 1000000
5 11 1000000
5 12 1000000
5 13 6414
5 14 1000000
5 15 111704
5 16 124693
5 17 1000000
5 18 1000000
5 19 178997
5 20 1000000
5 21 71078
5 22 1000000
5 23 104014
5 24 147589
5 25 1000000
5 26 1000000
5 27 139805
5 28 1000000
5 29 129646
5 30 1000000
5 31 191681
5 32 1000000
5 33 171791
5 34 1000000
5 35 29982
5 36 1000000
5 37 1000000
5 38 1000000
5 39 114523
5 40 89419
5 41 139891
5 42 1000000
5 43 1000000
5 44 1000000
5 45 1000000
5 46 1000000
5 47 1000000
5 48 1000000
5 49 128841
5 50 1000000
6 7 95457
6 8 135800
6 9 1000000
6 10 122711
6 11 133698
6 12 1000000
6 13 137019
6 14 126210
6 15 1000000
6 16 1000000
6 17 48593
6 18 139545
6 19 1000000
6 20 84630
6 21 68039
6 22 1000000
6 23 127552
6 24 1000000
6 25 79749
6 26 1000000
6 27 143533
6 28 154864
6 29 1000000
6 30 103190
6 31 192817
6 32 1000000
6 33 1000000
6 34 1000000
6 35 100623
6 36 63783
6 37 1000000
6 38 142140
6 39 111484
6 40 1000000
6 41 1000000
6 42 1000000
6 43 1000000
6 44 1000000
6 45 141800
6 46 125693
6 47 64972
6 48 86339
6 49 125802
6 50 1000000
7 8 1000000
7 9 1000000
7 10 1000000
7 11 127277
7 12 1000000
7 13 84035
7 14 116783
7 15 1000000
7 16 1000000
7 17 1000000
7 18 1000000
7 19 1000000
7 20 1000000
7 21 1000000
7 22 153599
7 23 75328
7 24 1000000
7 25 1000000
7 26 1000000
7 27 1000000
7 28 145437
7 29 1000000
7 30 93763
7 31 126260
7 32 214151
7 33 192440
7 34 1000000
7 35 104659
7 36 85093
7 37 95679
7 38 1000000
7 39 132794
7 40 107690
7 41 104743
7 42 105368
7 43 1000000
7 44 70610
7 45 1000000
7 46 1000000
7 47 86282
7 48 1000000
7 49 1000000
7 50 1000000
8 9 35538
8 10 1000000
8 11 1000000
8 12 159740
8 13 1000000
8 14 142232
8 15 129544
8 16 178813
8 17 87207
8 18 1000000
8 19 233117
8 20 1000000
8 21 1000000
8 22 1000000
8 23 1000000
8 24 165429
8 25 136908
8 26 1000000
8 27 241790
8 28 182444
8 29 1000000
8 30 165252
8 31 249976
8 32 199862
8 33 1000000
8 34 1000000
8 35 135245
8 36 120942
8 37 1000000
8 38 1000000
8 39 168643
8 40 143539
8 41 126514
8 42 141217
8 43 106735
8 44 106459
8 45 1000000
8 46 165868
8 47 122131
8 48 1000000
8 49 1000000
8 50 1000000
9 10 1000000
9 11 1000000
9 12 124202
9 13 79083
9 14 106694
9 15 1000000
9 16 194418
9 17 1000000
9 18 1000000
9 19 200148
9 20 147635
9 21 140803
9 22 1000000
9 23 1000000
9 24 1000000
9 25 150135
9 26 1000000
9 27 1000000
9 28 146906
9 29 1000000
9 30 129714
9 31 264286
9 32 218228
9 33 1000000
9 34 134826
9 35 1000000
9 36 136547
9 37 116928
9 38 159151
9 39 1000000
9 40 1000000
9 41 90976
9 42 1000000
9 43 1000000
9 44 141997
9 45 140600
9 46 1000000
9 47 1000000
9 48 1000000
9 49 1000000
9 50 1000000
10 11 140246
10 12 1000000
10 13 1000000
10 14 140302
10 15 1000000
10 16 1000000
10 17 1000000
10 18 1000000
10 19 145436
10 20 148049
10 21 146946
10 22 86181
10 23 1000000
10 24 1000000
10 25 164103
10 26 1000000
10 27 20822
10 28 1000000
10 29 190084
10 30 1000000
10 31 1000000
10 32 1000000
10 33 196976
10 34 113496
10 35 1000000
10 36 151202
10 37 190754
10 38 192153
10 39 1000000
10 40 1000000
10 41 113425
10 42 1000000
10 43 159155
10 44 165685
10 45 1000000
10 46 148251
10 47 152391
10 48 173758
10 49 102472
10 50 150589
11 12 131534
11 13 1000000
11 14 113987
11 15 129005
11 16 127786
11 17 173994
11 18 1000000
11 19 173578
11 20 90762
11 21 1000000
11 22 1000000
11 23 136695
11 24 164890
11 25 1000000
11 26 86817
11 27 1000000
11 28 1000000
11 29 1000000
11 30 1000000
11 31 157649
11 32 1000000
11 33 1000000
11 34 1000000
11 35 79638
11 36 1000000
11 37 1000000
11 38 138350
11 39 1000000
11 40 1000000
11 41 142984
11 42 90190
11 43 51128
11 44 84398
11 45 1000000
11 46 8005
11 47 71104
11 48 1000000
11 49 131934
11 50 10343
12 13 1000000
12 14 37430
12 15 1000000
12 16 119490
12 17 157300
12 18 127333
12 19 75946
12 20 1000000
12 21 65875
12 22 1000000
12 23 1000000
12 24 1000000
12 25 77585
12 26 1000000
12 27 82050
12 28 77642
12 29 88012
12 30 60450
12 31 190653
12 32 219643
12 33 1000000
12 34 10624
12 35 1000000
12 36 61619
12 37 101171
12 38 1000000
12 39 1000000
12 40 84216
12 41 117993
12 42 1000000
12 43 126969
12 44 76102
12 45 1000000
12 46 1000000
12 47 62808
12 48 84175
12 49 1000000
12 50 1000000
13 14 167630
13 15 118118
13 16 131107
13 17 130752
13 18 1000000
13 19 1000000
13 20 1000000
13 21 1000000
13 22 1000000
13 23 1000000
13 24 1000000
13 25 86824
13 26 1000000
13 27 1000000
13 28 1000000
13 29 136060
13 30 1000000
13 31 198095
13 32 139145
13 33 178205
13 34 1000000
13 35 36396
13 36 73236
13 37 1000000
13 38 95840
13 39 120937
13 40 1000000
13 41 1000000
13 42 1000000
13 43 7886
13 44 87719
13 45 151253
13 46 1000000
13 47 1000000
13 48 1000000
13 49 135255
13 50 1000000
14 15 98945
14 16 1000000
14 17 1000000
14 18 1000000
14 19 1000000
14 20 1000000
14 21 1000000
14 22 1000000
14 23 1000000
14 24 1000000
14 25 1000000
14 26 1000000
14 27 119480
14 28 1000000
14 29 116887
14 30 23020
14 31 1000000
14 32 1000000
14 33 131534
14 34 1000000
14 35 131234
14 36 94394
14 37 1000000
14 38 1000000
14 39 96901
14 40 71797
14 41 1000000
14 42 110895
14 43 159744
14 44 108877
14 45 53828
14 46 1000000
14 47 95583
14 48 116950
14 49 37830
14 50 103644
15 16 1000000
15 17 155566
15 18 60330
15 19 1000000
15 20 1000000
15 21 1000000
15 22 85961
15 23 1000000
15 24 35885
15 25 1000000
15 26 134762
15 27 151320
15 28 1000000
15 29 17942
15 30 1000000
15 31 1000000
15 32 1000000
15 33 1000000
15 34 80694
15 35 138742
15 36 117860
15 37 1000000
15 38 22278
15 39 1000000
15 40 131945
15 41 129148
15 42 138135
15 43 1000000
15 44 1000000
15 45 1000000
15 46 121000
15 47 1000000
15 48 1000000
15 49 1000000
15 50 123338
16 17 1000000
16 18 134043
16 19 1000000
16 20 78718
16 21 62127
16 22 136181
16 23 1000000
16 24 1000000
16 25 1000000
16 26 1000000
16 27 1000000
16 28 1000000
16 29 179741
16 30 166021
16 31 1000000
16 32 1000000
16 33 1000000
16 34 130114
16 35 1000000
16 36 1000000
16 37 97423
16 38 1000000
16 39 105572
16 40 80468
16 41 130940
16 42 78146
16 43 1000000
16 44 1000000
16 45 103997
16 46 1000000
16 47 1000000
16 48 1000000
16 49 119890
16 50 1000000
17 18 132016
17 19 199864
17 20 1000000
17 21 1000000
17 22 1000000
17 23 1000000
17 24 132570
17 25 1000000
17 26 114543
17 27 173554
17 28 1000000
17 29 1000000
17 30 133211
17 31 214188
17 32 241434
17 33 1000000
17 34 167924
17 35 149216
17 36 1000000
17 37 1000000
17 38 1000000
17 39 136830
17 40 1000000
17 41 1000000
17 42 132651
17 43 122866
17 44 1000000
17 45 172898
17 46 174286
17 47 113565
17 48 134932
17 49 156900
17 50 1000000
18 19 1000000
18 20 1000000
18 21 84324
18 22 144024
18 23 52640
18 24 1000000
18 25 1000000
18 26 1000000
18 27 1000000
18 28 1000000
18 29 1000000
18 30 1000000
18 31 170348
18 32 1000000
18 33 187415
18 34 137957
18 35 116908
18 36 80068
18 37 1000000
18 38 38052
18 39 1000000
18 40 1000000
18 41 1000000
18 42 100343
18 43 1000000
18 44 94551
18 45 143731
18 46 1000000
18 47 81257
18 48 1000000
18 49 1000000
18 50 1000000
19 20 1000000
19 21 107919
19 22 59255
19 23 1000000
19 24 1000000
19 25 128141
19 26 1000000
19 27 124614
19 28 153588
19 29 163158
19 30 1000000
19 31 1000000
19 32 1000000
19 33 170050
19 34 1000000
19 35 149015
19 36 112175
19 37 151727
19 38 1000000
19 39 1000000
19 40 1000000
19 41 1000000
19 42 132450
19 43 177525
19 44 1000000
19 45 91544
19 46 1000000
19 47 113364
19 48 1000000
19 49 75546
19 50 167911
20 21 25103
20 22 1000000
20 23 1000000
20 24 154850
20 25 36813
20 26 1000000
20 27 127227
20 28 1000000
20 29 101023
20 30 1000000
20 31 1000000
20 32 1000000
20 33 128194
20 34 1000000
20 35 57687
20 36 20847
20 37 60399
20 38 97273
20 39 1000000
20 40 43444
20 41 93916
20 42 1000000
20 43 1000000
20 44 1000000
20 45 98864
20 46 82757
20 47 22036
20 48 1000000
20 49 82866
20 50 1000000
21 22 1000000
21 23 105914
21 24 149489
21 25 20222
21 26 1000000
21 27 1000000
21 28 130350
21 29 1000000
21 30 112406
21 31 1000000
21 32 162280
21 33 111603
21 34 76499
21 35 41096
21 36 1000000
21 37 1000000
21 38 1000000
21 39 1000000
21 40 1000000
21 41 1000000
21 42 1000000
21 43 1000000
21 44 18739
21 45 82273
21 46 1000000
21 47 1000000
21 48 26812
21 49 66275
21 50 1000000
22 23 93651
22 24 121846
22 25 94276
22 26 103724
22 27 1000000
22 28 94333
22 29 1000000
22 30 77141
22 31 1000000
22 32 1000000
22 33 110795
22 34 27315
22 35 1000000
22 36 78310
22 37 117862
22 38 1000000
22 39 126011
22 40 100907
22 41 101302
22 42 1000000
22 43 143660
22 44 92793
22 45 1000000
22 46 1000000
22 47 79499
22 48 100866
22 49 1000000
22 50 1000000
23 24 1000000
23 25 126136
23 26 127072
23 27 159010
23 28 1000000
23 29 25632
23 30 68235
23 31 192268
23 32 1000000
23 33 1000000
23 34 1000000
23 35 1000000
23 36 1000000
23 37 149722
23 38 14588
23 39 1000000
23 40 1000000
23 41 136838
23 42 1000000
23 43 102542
23 44 124653
23 45 93358
23 46 128690
23 47 1000000
23 48 1000000
23 49 77360
23 50 1000000
24 25 163726
24 26 170647
24 27 187205
24 28 163484
24 29 1000000
24 30 111810
24 31 1000000
24 32 1000000
24 33 1000000
24 34 116579
24 35 174627
24 36 147760
24 37 158346
24 38 58163
24 39 192934
24 40 167830
24 41 1000000
24 42 1000000
24 43 1000000
24 44 133277
24 45 1000000
24 46 156885
24 47 148949
24 48 170316
24 49 1000000
24 50 159223
25 26 1000000
25 27 159635
25 28 150572
25 29 1000000
25 30 1000000
25 31 1000000
25 32 1000000
25 33 120935
25 34 88209
25 35 50428
25 36 15966
25 37 55518
25 38 1000000
25 39 63667
25 40 1000000
25 41 1000000
25 42 1000000
25 43 1000000
25 44 1000000
25 45 1000000
25 46 1000000
25 47 14777
25 48 36144
25 49 77985
25 50 80214
26 27 152244
26 28 114826
26 29 1000000
26 30 1000000
26 31 103620
26 32 1000000
26 33 1000000
26 34 97657
26 35 1000000
26 36 1000000
26 37 1000000
26 38 1000000
26 39 1000000
26 40 2817
26 41 1000000
26 42 45689
26 43 1000000
26 44 39897
26 45 1000000
26 46 1000000
26 47 26603
26 48 1000000
26 49 1000000
26 50 1000000
27 28 159692
27 29 1000000
27 30 142500
27 31 217100
27 32 1000000
27 33 1000000
27 34 1000000
27 35 166843
27 36 1000000
27 37 183221
27 38 1000000
27 39 174531
27 40 149427
27 41 134247
27 42 1000000
27 43 1000000
27 44 1000000
27 45 1000000
27 46 169073
27 47 1000000
27 48 1000000
27 49 81650
27 50 171411
28 29 1000000
28 30 51674
28 31 1000000
28 32 1000000
28 33 171746
28 34 88266
28 35 1000000
28 36 1000000
28 37 1000000
28 38 1000000
28 39 135453
28 40 1000000
28 41 1000000
28 42 139549
28 43 1000000
28 44 1000000
28 45 94040
28 46 1000000
28 47 1000000
28 48 1000000
28 49 78042
28 50 1000000
29 30 1000000
29 31 202520
29 32 157661
29 33 182116
29 34 98636
29 35 156684
29 36 1000000
29 37 1000000
29 38 1000000
29 39 1000000
29 40 1000000
29 41 128957
29 42 1000000
29 43 128174
29 44 136353
29 45 103610
29 46 103058
29 47 1000000
29 48 144426
29 49 1000000
29 50 105396
30 31 165112
30 32 1000000
30 33 1000000
30 34 71074
30 35 1000000
30 36 1000000
30 37 1000000
30 38 1000000
30 39 1000000
30 40 1000000
30 41 1000000
30 42 1000000
30 43 1000000
30 44 1000000
30 45 76848
30 46 1000000
30 47 1000000
30 48 130706
30 49 1000000
30 50 1000000
31 32 287058
31 33 1000000
31 34 1000000
31 35 165874
31 36 1000000
31 37 1000000
31 38 206856
31 39 81333
31 40 1000000
31 41 1000000
31 42 149309
31 43 1000000
31 44 143517
31 45 1000000
31 46 1000000
31 47 130223
31 48 1000000
31 49 191053
31 50 147306
32 33 1000000
32 34 1000000
32 35 175541
32 36 158024
32 37 1000000
32 38 197881
32 39 1000000
32 40 1000000
32 41 202127
32 42 178299
32 43 1000000
32 44 1000000
32 45 236041
32 46 203220
32 47 1000000
32 48 1000000
32 49 1000000
32 50 1000000
33 34 1000000
33 35 1000000
33 36 1000000
33 37 146899
33 38 1000000
33 39 155048
33 40 1000000
33 41 1000000
33 42 1000000
33 43 170319
33 44 1000000
33 45 110502
33 46 169257
33 47 106158
33 48 127525
33 49 1000000
33 50 1000000
34 35 109083
34 36 1000000
34 37 111795
34 38 99905
34 39 119944
34 40 1000000
34 41 128617
34 42 92518
34 43 137593
34 44 86726
34 45 1000000
34 46 134153
34 47 73432
34 48 94799
34 49 1000000
34 50 136491
35 36 1000000
35 37 76392
35 38 116464
35 39 84541
35 40 59437
35 41 109909
35 42 39544
35 43 1000000
35 44 51323
35 45 114857
35 46 87643
35 47 1000000
35 48 1000000
35 49 1000000
35 50 1000000
36 37 1000000
36 38 95582
36 39 1000000
36 40 1000000
36 41 73069
36 42 1000000
36 43 65350
36 44 14483
36 45 78017
36 46 1000000
36 47 1000000
36 48 22556
36 49 1000000
36 50 64248
37 38 1000000
37 39 87253
37 40 1000000
37 41 1000000
37 42 1000000
37 43 1000000
37 44 1000000
37 45 1000000
37 46 1000000
37 47 1000000
37 48 1000000
37 49 1000000
37 50 1000000
38 39 134771
38 40 109667
38 41 1000000
38 42 115857
38 43 87954
38 44 110065
38 45 1000000
38 46 1000000
38 47 96771
38 48 1000000
38 49 1000000
38 50 132683
39 40 25104
39 41 1000000
39 42 1000000
39 43 113051
39 44 62184
39 45 125718
39 46 1000000
39 47 48890
39 48 1000000
39 49 1000000
39 50 1000000
40 41 95666
40 42 42872
40 43 1000000
40 44 1000000
40 45 100614
40 46 1000000
40 47 23786
40 48 45153
40 49 84616
40 50 78333
41 42 93344
41 43 138419
41 44 1000000
41 45 133591
41 46 1000000
41 47 74258
41 48 95625
41 49 1000000
41 50 1000000
42 43 68054
42 44 1000000
42 45 1000000
42 46 82185
42 47 21464
42 48 42831
42 49 82294
42 50 1000000
43 44 1000000
43 45 1000000
43 46 1000000
43 47 1000000
43 48 42794
43 49 127369
43 50 61471
44 45 1000000
44 46 1000000
44 47 15672
44 48 37039
44 49 76502
44 50 78731
45 46 1000000
45 47 1000000
45 48 1000000
45 49 1000000
45 50 142265
46 47 63099
46 48 1000000
46 49 1000000
46 50 1000000
47 48 21367
47 49 63208
47 50 1000000
48 49 84575
48 50 86804
49 50 1000000
Case #16: 666
1 2 214195
1 3 174033
1 4 144561
1 5 32172
1 6 1000000
1 7 1000000
1 8 1000000
1 9 1000000
1 10 1000000
1 11 114358
1 12 1000000
1 13 100710
1 14 158567
1 15 126219
1 16 218617
1 17 103077
1 18 1000000
1 19 119031
1 20 1000000
1 21 137277
1 22 188097
1 23 174708
1 24 1000000
1 25 16170
1 26 202983
1 27 1000000
1 28 127513
1 29 190738
1 30 1000000
1 31 1000000
1 32 113721
1 33 1000000
1 34 1000000
1 35 90107
1 36 1000000
1 37 1000000
2 3 166635
2 4 204017
2 5 214027
2 6 1000000
2 7 208099
2 8 177342
2 9 147805
2 10 179724
2 11 1000000
2 12 1000000
2 13 171229
2 14 229086
2 15 193132
2 16 41661
2 17 124705
2 18 229071
2 19 1000000
2 20 151717
2 21 1000000
2 22 1000000
2 23 178545
2 24 1000000
2 25 1000000
2 26 11212
2 27 1000000
2 28 1000000
2 29 130060
2 30 130102
2 31 314652
2 32 176224
2 33 187429
2 34 183968
2 35 1000000
2 36 215886
2 37 197225
3 4 166956
3 5 173865
3 6 156312
3 7 263376
3 8 232619
3 9 221998
3 10 1000000
3 11 1000000
3 12 1000000
3 13 165840
3 14 1000000
3 15 192950
3 16 1000000
3 17 179982
3 18 284348
3 19 291234
3 20 1000000
3 21 181892
3 22 64787
3 23 1000000
3 24 1000000
3 25 1000000
3 26 155423
3 27 152945
3 28 191656
3 29 92999
3 30 274313
3 31 1000000
3 32 1000000
3 33 198653
3 34 1000000
3 35 1000000
3 36 1000000
3 37 160164
4 5 144393
4 6 63584
4 7 133799
4 8 152781
4 9 152917
4 10 1000000
4 11 98839
4 12 1000000
4 13 1000000
4 14 110485
4 15 1000000
4 16 183488
4 17 1000000
4 18 1000000
4 19 209653
4 20 203404
4 21 1000000
4 22 1000000
4 23 154899
4 24 255378
4 25 128391
4 26 192805
4 27 138370
4 28 1000000
4 29 1000000
4 30 1000000
4 31 216601
4 32 1000000
4 33 66432
4 34 1000000
4 35 123090
4 36 238765
4 37 6792
5 6 91014
5 7 210507
5 8 92588
5 9 1000000
5 10 132960
5 11 146530
5 12 110598
5 13 100542
5 14 158399
5 15 94047
5 16 1000000
5 17 128010
5 18 1000000
5 19 151203
5 20 1000000
5 21 1000000
5 22 187929
5 23 174540
5 24 1000000
5 25 16002
5 26 202815
5 27 171688
5 28 95341
5 29 190570
5 30 137271
5 31 321821
5 32 1000000
5 33 99750
5 34 191974
5 35 1000000
5 36 1000000
5 37 1000000
6 7 120390
6 8 89633
6 9 1000000
6 10 176444
6 11 1000000
6 12 169608
6 13 9528
6 14 67385
6 15 117610
6 16 152536
6 17 1000000
6 18 141362
6 19 148248
6 20 209066
6 21 128668
6 22 1000000
6 23 1000000
6 24 250124
6 25 1000000
6 26 1000000
6 27 183845
6 28 118904
6 29 125127
6 30 187451
6 31 266601
6 32 1000000
6 33 111907
6 34 100960
6 35 59942
6 36 233941
6 37 56792
7 8 1000000
7 9 190583
7 10 176425
7 11 130591
7 12 260522
7 13 129918
7 14 1000000
7 15 1000000
7 16 198934
7 17 83394
7 18 1000000
7 19 1000000
7 20 247729
7 21 1000000
7 22 211542
7 23 134845
7 24 1000000
7 25 1000000
7 26 1000000
7 27 182695
7 28 117754
7 29 1000000
7 30 233849
7 31 350400
7 32 142929
7 33 110757
7 34 147358
7 35 1000000
7 36 1000000
7 37 140591
8 9 113934
8 10 192085
8 11 1000000
8 12 124491
8 13 1000000
8 14 157018
8 15 1000000
8 16 168177
8 17 1000000
8 18 1000000
8 19 58615
8 20 1000000
8 21 1000000
8 22 186548
8 23 1000000
8 24 1000000
8 25 1000000
8 26 188554
8 27 1000000
8 28 112101
8 29 1000000
8 30 97818
8 31 282368
8 32 112172
8 33 1000000
8 34 116601
8 35 1000000
8 36 291431
8 37 146425
9 10 226137
9 11 108494
9 12 203775
9 13 153713
9 14 134165
9 15 219228
9 16 189466
9 17 107189
9 18 1000000
9 19 172549
9 20 233367
9 21 215062
9 22 1000000
9 23 233908
9 24 252879
9 25 109179
9 26 136593
9 27 1000000
9 28 1000000
9 29 1000000
9 30 1000000
9 31 369518
9 32 1000000
9 33 1000000
9 34 171153
9 35 1000000
9 36 1000000
9 37 1000000
10 11 186645
10 12 1000000
10 13 185972
10 14 1000000
10 15 157561
10 16 191386
10 17 139448
10 18 243814
10 19 1000000
10 20 1000000
10 21 146503
10 22 85822
10 23 1000000
10 24 1000000
10 25 116958
10 26 176458
10 27 117556
10 28 1000000
10 29 1000000
10 30 1000000
10 31 367041
10 32 160198
10 33 163264
10 34 1000000
10 35 1000000
10 36 217951
10 37 1000000
11 12 1000000
11 13 1000000
11 14 1000000
11 15 1000000
11 16 162737
11 17 47197
11 18 105671
11 19 112557
11 20 1000000
11 21 122770
11 22 181108
11 23 213554
11 24 1000000
11 25 1000000
11 26 183114
11 27 1000000
11 28 132534
11 29 165069
11 30 151760
11 31 315440
11 32 106732
11 33 1000000
11 34 111161
11 35 24251
11 36 304558
11 37 105631
12 13 179136
12 14 1000000
12 15 179557
12 16 1000000
12 17 177128
12 18 176220
12 19 65876
12 20 48288
12 21 188027
12 22 1000000
12 23 253134
12 24 208503
12 25 94596
12 26 92217
12 27 218920
12 28 178263
12 29 211065
12 30 26673
12 31 211223
12 32 1000000
12 33 185260
12 34 223023
12 35 1000000
12 36 294383
12 37 226400
13 14 1000000
13 15 1000000
13 16 1000000
13 17 46524
13 18 150890
13 19 1000000
13 20 213611
13 21 123665
13 22 1000000
13 23 183140
13 24 259652
13 25 1000000
13 26 1000000
13 27 178842
13 28 113901
13 29 134655
13 30 191996
13 31 257073
13 32 32067
13 33 1000000
13 34 1000000
13 35 69470
13 36 1000000
13 37 47264
14 15 1000000
14 16 219921
14 17 104381
14 18 208747
14 19 215126
14 20 1000000
14 21 1000000
14 22 140099
14 23 160372
14 24 262259
14 25 1000000
14 26 230735
14 27 171833
14 28 170330
14 29 1000000
14 30 1000000
14 31 313502
14 32 89924
14 33 1000000
14 34 1000000
14 35 127327
14 36 1000000
14 37 103693
15 16 1000000
15 17 130373
15 18 1000000
15 19 1000000
15 20 1000000
15 21 11058
15 22 128163
15 23 1000000
15 24 250752
15 25 1000000
15 26 1000000
15 27 1000000
15 28 1294
15 29 99951
15 30 152884
15 31 275152
15 32 140149
15 33 5703
15 34 111057
15 35 1000000
15 36 1000000
15 37 65343
16 17 115540
16 18 219906
16 19 210966
16 20 1000000
16 21 162529
16 22 143509
16 23 1000000
16 24 146735
16 25 227548
16 26 1000000
16 27 1000000
16 28 1000000
16 29 133776
16 30 171763
16 31 347891
16 32 1000000
16 33 145768
16 34 179504
16 35 138486
16 36 1000000
16 37 190280
17 18 104366
17 19 111252
17 20 172070
17 21 1000000
17 22 1000000
17 23 166357
17 24 1000000
17 25 112008
17 26 1000000
17 27 177818
17 28 131667
17 29 117872
17 30 1000000
17 31 1000000
17 32 59535
17 33 136076
17 34 1000000
17 35 22946
17 36 259819
17 37 1000000
18 19 110344
18 20 171162
18 21 173594
18 22 238277
18 23 270723
18 24 316347
18 25 128315
18 26 1000000
18 27 242765
18 28 1000000
18 29 1000000
18 30 149547
18 31 334097
18 32 1000000
18 33 170827
18 34 1000000
18 35 1000000
18 36 343160
18 37 1000000
19 20 60818
19 21 180480
19 22 239267
19 23 1000000
19 24 1000000
19 25 1000000
19 26 1000000
19 27 249651
19 28 170716
19 29 211055
19 30 1000000
19 31 1000000
19 32 170787
19 33 177713
19 34 1000000
19 35 88306
19 36 1000000
19 37 202861
20 21 1000000
20 22 1000000
20 23 245265
20 24 1000000
20 25 142884
20 26 1000000
20 27 208910
20 28 129975
20 29 228632
20 30 21615
20 31 206165
20 32 1000000
20 33 1000000
20 34 1000000
20 35 149124
20 36 246095
20 37 196612
21 22 117105
21 23 105526
21 24 261810
21 25 121107
21 26 207741
21 27 88699
21 28 9764
21 29 88893
21 30 161354
21 31 286210
21 32 151207
21 33 16761
21 34 1000000
21 35 130819
21 36 1000000
21 37 76401
22 23 76697
22 24 153209
22 25 1000000
22 26 90636
22 27 88158
22 28 1000000
22 29 1000000
22 30 209526
22 31 1000000
22 32 74376
22 33 133866
22 34 82120
22 35 1000000
22 36 188553
22 37 95377
23 24 229906
23 25 158538
23 26 167333
23 27 1000000
23 28 115290
23 29 48485
23 30 1000000
23 31 1000000
23 32 151073
23 33 122287
23 34 102393
23 35 189303
23 36 1000000
23 37 148107
24 25 262926
24 26 116286
24 27 1000000
24 28 252046
24 29 181421
24 30 1000000
24 31 419726
24 32 227585
24 33 1000000
24 34 235329
24 35 240632
24 36 1000000
24 37 248586
25 26 186813
25 27 187690
25 28 111343
25 29 174568
25 30 1000000
25 31 1000000
25 32 97551
25 33 115752
25 34 175972
25 35 1000000
25 36 260436
25 37 131804
26 27 1000000
26 28 1000000
26 29 118848
26 30 1000000
26 31 303440
26 32 165012
26 33 1000000
26 34 172756
26 35 158863
26 36 227098
26 37 1000000
27 28 78935
27 29 59946
27 30 230525
27 31 274061
27 32 162534
27 33 71938
27 34 113854
27 35 1000000
27 36 1000000
27 37 1000000
28 29 98657
28 30 151590
28 31 1000000
28 32 1000000
28 33 6997
28 34 1000000
28 35 140583
28 36 179330
28 37 1000000
29 30 226995
29 31 309431
29 32 102588
29 33 105654
29 34 1000000
29 35 1000000
29 36 1000000
29 37 99622
30 31 184550
30 32 209990
30 33 1000000
30 34 1000000
30 35 127509
30 36 267710
30 37 218227
31 32 1000000
31 33 1000000
31 34 1000000
31 35 312059
31 36 1000000
31 37 1000000
32 33 134446
32 34 123499
32 35 82481
32 36 1000000
32 37 79331
33 34 105354
